2026-06-10 15:05:00,216 | INFO     | run_experiment:254 | Starting experiment: llm-explanation-agreement-study v1.0
2026-06-10 15:05:05,469 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0006: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,469 | INFO     | run_experiment:319 | Processing sst2_validation_0007 (8/200)
2026-06-10 15:05:05,469 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0007: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,469 | INFO     | run_experiment:319 | Processing sst2_validation_0008 (9/200)
2026-06-10 15:05:05,469 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0008: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,469 | INFO     | run_experiment:319 | Processing sst2_validation_0009 (10/200)
2026-06-10 15:05:05,469 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0009: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,470 | INFO     | run_experiment:319 | Processing sst2_validation_0010 (11/200)
2026-06-10 15:05:05,470 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0010: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,470 | INFO     | run_experiment:319 | Processing sst2_validation_0011 (12/200)
2026-06-10 15:05:05,470 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0011: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,470 | INFO     | run_experiment:319 | Processing sst2_validation_0012 (13/200)
2026-06-10 15:05:05,470 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0012: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,470 | INFO     | run_experiment:319 | Processing sst2_validation_0013 (14/200)
2026-06-10 15:05:05,470 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0013: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,471 | INFO     | run_experiment:319 | Processing sst2_validation_0014 (15/200)
2026-06-10 15:05:05,471 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0014: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,471 | INFO     | run_experiment:319 | Processing sst2_validation_0015 (16/200)
2026-06-10 15:05:05,471 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0015: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,471 | INFO     | run_experiment:319 | Processing sst2_validation_0016 (17/200)
2026-06-10 15:05:05,471 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0016: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,471 | INFO     | run_experiment:319 | Processing sst2_validation_0017 (18/200)
2026-06-10 15:05:05,471 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0017: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,471 | INFO     | run_experiment:319 | Processing sst2_validation_0018 (19/200)
2026-06-10 15:05:05,472 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0018: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,472 | INFO     | run_experiment:319 | Processing sst2_validation_0019 (20/200)
2026-06-10 15:05:05,472 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0019: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,472 | INFO     | run_experiment:319 | Processing sst2_validation_0020 (21/200)
2026-06-10 15:05:05,472 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0020: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,472 | INFO     | run_experiment:319 | Processing sst2_validation_0021 (22/200)
2026-06-10 15:05:05,472 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0021: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,472 | INFO     | run_experiment:319 | Processing sst2_validation_0022 (23/200)
2026-06-10 15:05:05,472 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0022: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,472 | INFO     | run_experiment:319 | Processing sst2_validation_0023 (24/200)
2026-06-10 15:05:05,473 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0023: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,473 | INFO     | run_experiment:319 | Processing sst2_validation_0024 (25/200)
2026-06-10 15:05:05,473 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0024: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,473 | INFO     | run_experiment:319 | Processing sst2_validation_0025 (26/200)
2026-06-10 15:05:05,473 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0025: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,473 | INFO     | run_experiment:319 | Processing sst2_validation_0026 (27/200)
2026-06-10 15:05:05,473 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0026: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,474 | INFO     | run_experiment:319 | Processing sst2_validation_0027 (28/200)
2026-06-10 15:05:05,474 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0027: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,474 | INFO     | run_experiment:319 | Processing sst2_validation_0028 (29/200)
2026-06-10 15:05:05,474 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0028: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,474 | INFO     | run_experiment:319 | Processing sst2_validation_0029 (30/200)
2026-06-10 15:05:05,475 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0029: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,475 | INFO     | run_experiment:319 | Processing sst2_validation_0030 (31/200)
2026-06-10 15:05:05,475 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0030: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,475 | INFO     | run_experiment:319 | Processing sst2_validation_0031 (32/200)
2026-06-10 15:05:05,475 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0031: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,475 | INFO     | run_experiment:319 | Processing sst2_validation_0032 (33/200)
2026-06-10 15:05:05,476 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0032: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,476 | INFO     | run_experiment:319 | Processing sst2_validation_0033 (34/200)
2026-06-10 15:05:05,476 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0033: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,476 | INFO     | run_experiment:319 | Processing sst2_validation_0034 (35/200)
2026-06-10 15:05:05,476 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0034: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,476 | INFO     | run_experiment:319 | Processing sst2_validation_0035 (36/200)
2026-06-10 15:05:05,477 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0035: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,477 | INFO     | run_experiment:319 | Processing sst2_validation_0036 (37/200)
2026-06-10 15:05:05,477 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0036: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,477 | INFO     | run_experiment:319 | Processing sst2_validation_0037 (38/200)
2026-06-10 15:05:05,477 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0037: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,477 | INFO     | run_experiment:319 | Processing sst2_validation_0038 (39/200)
2026-06-10 15:05:05,477 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0038: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,477 | INFO     | run_experiment:319 | Processing sst2_validation_0039 (40/200)
2026-06-10 15:05:05,477 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0039: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,478 | INFO     | run_experiment:319 | Processing sst2_validation_0040 (41/200)
2026-06-10 15:05:05,478 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0040: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,478 | INFO     | run_experiment:319 | Processing sst2_validation_0041 (42/200)
2026-06-10 15:05:05,478 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0041: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,478 | INFO     | run_experiment:319 | Processing sst2_validation_0042 (43/200)
2026-06-10 15:05:05,478 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0042: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,478 | INFO     | run_experiment:319 | Processing sst2_validation_0043 (44/200)
2026-06-10 15:05:05,479 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0043: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,479 | INFO     | run_experiment:319 | Processing sst2_validation_0044 (45/200)
2026-06-10 15:05:05,479 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0044: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,479 | INFO     | run_experiment:319 | Processing sst2_validation_0045 (46/200)
2026-06-10 15:05:05,479 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0045: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,479 | INFO     | run_experiment:319 | Processing sst2_validation_0046 (47/200)
2026-06-10 15:05:05,479 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0046: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,479 | INFO     | run_experiment:319 | Processing sst2_validation_0047 (48/200)
2026-06-10 15:05:05,479 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0047: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,479 | INFO     | run_experiment:319 | Processing sst2_validation_0048 (49/200)
2026-06-10 15:05:05,480 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0048: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,480 | INFO     | run_experiment:319 | Processing sst2_validation_0049 (50/200)
2026-06-10 15:05:05,480 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0049: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,480 | INFO     | run_experiment:319 | Processing sst2_validation_0050 (51/200)
2026-06-10 15:05:05,480 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0050: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,480 | INFO     | run_experiment:319 | Processing sst2_validation_0051 (52/200)
2026-06-10 15:05:05,480 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0051: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,480 | INFO     | run_experiment:319 | Processing sst2_validation_0052 (53/200)
2026-06-10 15:05:05,481 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0052: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,481 | INFO     | run_experiment:319 | Processing sst2_validation_0053 (54/200)
2026-06-10 15:05:05,481 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0053: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,481 | INFO     | run_experiment:319 | Processing sst2_validation_0054 (55/200)
2026-06-10 15:05:05,481 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0054: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,481 | INFO     | run_experiment:319 | Processing sst2_validation_0055 (56/200)
2026-06-10 15:05:05,481 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0055: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,481 | INFO     | run_experiment:319 | Processing sst2_validation_0056 (57/200)
2026-06-10 15:05:05,481 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0056: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,482 | INFO     | run_experiment:319 | Processing sst2_validation_0057 (58/200)
2026-06-10 15:05:05,482 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0057: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,482 | INFO     | run_experiment:319 | Processing sst2_validation_0058 (59/200)
2026-06-10 15:05:05,483 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0058: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,483 | INFO     | run_experiment:319 | Processing sst2_validation_0059 (60/200)
2026-06-10 15:05:05,483 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0059: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,484 | INFO     | run_experiment:319 | Processing sst2_validation_0060 (61/200)
2026-06-10 15:05:05,484 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0060: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,484 | INFO     | run_experiment:319 | Processing sst2_validation_0061 (62/200)
2026-06-10 15:05:05,484 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0061: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,485 | INFO     | run_experiment:319 | Processing sst2_validation_0062 (63/200)
2026-06-10 15:05:05,485 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0062: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,485 | INFO     | run_experiment:319 | Processing sst2_validation_0063 (64/200)
2026-06-10 15:05:05,485 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0063: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,486 | INFO     | run_experiment:319 | Processing sst2_validation_0064 (65/200)
2026-06-10 15:05:05,486 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0064: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,486 | INFO     | run_experiment:319 | Processing sst2_validation_0065 (66/200)
2026-06-10 15:05:05,486 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0065: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,486 | INFO     | run_experiment:319 | Processing sst2_validation_0066 (67/200)
2026-06-10 15:05:05,486 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0066: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,487 | INFO     | run_experiment:319 | Processing sst2_validation_0067 (68/200)
2026-06-10 15:05:05,487 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0067: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,487 | INFO     | run_experiment:319 | Processing sst2_validation_0068 (69/200)
2026-06-10 15:05:05,487 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0068: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,487 | INFO     | run_experiment:319 | Processing sst2_validation_0069 (70/200)
2026-06-10 15:05:05,487 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0069: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,487 | INFO     | run_experiment:319 | Processing sst2_validation_0070 (71/200)
2026-06-10 15:05:05,488 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0070: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,488 | INFO     | run_experiment:319 | Processing sst2_validation_0071 (72/200)
2026-06-10 15:05:05,488 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0071: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,488 | INFO     | run_experiment:319 | Processing sst2_validation_0072 (73/200)
2026-06-10 15:05:05,488 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0072: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,488 | INFO     | run_experiment:319 | Processing sst2_validation_0073 (74/200)
2026-06-10 15:05:05,488 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0073: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,489 | INFO     | run_experiment:319 | Processing sst2_validation_0074 (75/200)
2026-06-10 15:05:05,489 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0074: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,489 | INFO     | run_experiment:319 | Processing sst2_validation_0075 (76/200)
2026-06-10 15:05:05,489 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0075: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,489 | INFO     | run_experiment:319 | Processing sst2_validation_0076 (77/200)
2026-06-10 15:05:05,489 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0076: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,489 | INFO     | run_experiment:319 | Processing sst2_validation_0077 (78/200)
2026-06-10 15:05:05,489 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0077: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,490 | INFO     | run_experiment:319 | Processing sst2_validation_0078 (79/200)
2026-06-10 15:05:05,490 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0078: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,490 | INFO     | run_experiment:319 | Processing sst2_validation_0079 (80/200)
2026-06-10 15:05:05,490 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0079: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,490 | INFO     | run_experiment:319 | Processing sst2_validation_0080 (81/200)
2026-06-10 15:05:05,490 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0080: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,490 | INFO     | run_experiment:319 | Processing sst2_validation_0081 (82/200)
2026-06-10 15:05:05,490 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0081: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,491 | INFO     | run_experiment:319 | Processing sst2_validation_0082 (83/200)
2026-06-10 15:05:05,491 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0082: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,491 | INFO     | run_experiment:319 | Processing sst2_validation_0083 (84/200)
2026-06-10 15:05:05,491 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0083: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,491 | INFO     | run_experiment:319 | Processing sst2_validation_0084 (85/200)
2026-06-10 15:05:05,491 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0084: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,491 | INFO     | run_experiment:319 | Processing sst2_validation_0085 (86/200)
2026-06-10 15:05:05,491 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0085: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,491 | INFO     | run_experiment:319 | Processing sst2_validation_0086 (87/200)
2026-06-10 15:05:05,492 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0086: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,492 | INFO     | run_experiment:319 | Processing sst2_validation_0087 (88/200)
2026-06-10 15:05:05,492 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0087: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,492 | INFO     | run_experiment:319 | Processing sst2_validation_0088 (89/200)
2026-06-10 15:05:05,492 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0088: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,492 | INFO     | run_experiment:319 | Processing sst2_validation_0089 (90/200)
2026-06-10 15:05:05,492 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0089: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,492 | INFO     | run_experiment:319 | Processing sst2_validation_0090 (91/200)
2026-06-10 15:05:05,492 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0090: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,493 | INFO     | run_experiment:319 | Processing sst2_validation_0091 (92/200)
2026-06-10 15:05:05,493 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0091: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,493 | INFO     | run_experiment:319 | Processing sst2_validation_0092 (93/200)
2026-06-10 15:05:05,493 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0092: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,493 | INFO     | run_experiment:319 | Processing sst2_validation_0093 (94/200)
2026-06-10 15:05:05,493 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0093: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,493 | INFO     | run_experiment:319 | Processing sst2_validation_0094 (95/200)
2026-06-10 15:05:05,493 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0094: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,493 | INFO     | run_experiment:319 | Processing sst2_validation_0095 (96/200)
